unemployment_rate_2018,%_white-alone,%_black-alone,r_death_2018,r_natural_inc_2018,percent_of_adults_with_less_than_a_high_school_diploma_2014-18,percent_of_adults_with_a_high_school_diploma_only_2014-18,percent_of_adults_with_a_bachelor's_degree_or_higher_2014-18,pctpovall_2018,pctpov017_2018,pctpov517_2018,medhhinc_2018,med_hh_income_percent_of_state_total_2018,active_primary_care_physicians_per_100000_population_2018_(aamc),active_patient_care_primary_care_physicians_per_100000_population_2018_(aamc),diabetes_prevalence
-0.3535711536943881,-0.475265384967909,0.710731242314603,-0.2847986567473735,0.34461256130159423,-0.3330188981038949,-0.23438175096664643,0.6495279575510867,-0.22173893074173415,-0.2028434176295675,-0.043631692404675744,0.4725313690552903,1.4689434196958664,-0.8561785289642958,-0.846273265721415,12.9
-0.3535711536943881,0.1707484222952314,-0.027771706767646082,-0.024296181703375504,-0.17313071261563345,-0.5855107780480523,-0.9296006230951849,1.0311742499744427,-0.8741719829862549,-0.8090462463527904,-0.772798004724312,0.34668439956321623,1.29517132578503,-0.8561785289642958,-0.846273265721415,12.0
0.7111264464977766,-2.167117764745143,2.697983142091589,0.9432844398886153,-0.8141461946083914,2.1445576738481464,0.19665394975304762,-0.9936713570494727,2.5674123676035916,2.5587472465540033,1.9160027719543469,-1.322118328455682,-1.0184799817135348,-0.8561785289642958,-0.846273265721415,19.7
-0.087396753646347,-0.4685615974951593,0.8256595626375263,0.38506485050862055,-0.27174847907605776,0.5349219392041451,1.8095617330912561,-1.067880358354014,1.0831271737473074,0.7513647386940241,0.7311075144349378,-0.4820358726805906,0.1433105890046283,-0.8561785289642958,-0.846273265721415,14.1
-0.42011475370639845,0.6964339290061541,-0.5319114082200073,0.38506485050862055,-0.12382182938542127,1.0083442140994396,-0.03972046677065586,-0.9512662134468776,-0.3196038885784125,-0.34878113565552865,-0.4993606376044484,-0.16936008790828305,0.5802232822661598,-0.8561785289642958,-0.846273265721415,13.5
0.37840844643772514,-3.563254758846107,4.238873122283031,0.5339234076766193,-0.3210573623062699,1.7973813389249307,0.7528290474558784,-0.8770572121423361,4.459468219112702,5.297885954118195,5.311183413692653,-1.6899510421425155,-1.5249015125394012,-0.8561785289642958,-0.846273265721415,20.6
0.4449520464497352,-1.9724909148942327,2.457256332065968,0.6455673255526179,-0.4196751287666942,0.3139915442530076,1.33681290004385,-0.5802212069241705,1.5235194840123587,1.7055728950176152,1.756497641134426,-1.1076031798871921,-0.7205849635806724,-0.8561785289642958,-0.846273265721415,18.6
0.37840844643772514,-0.5637711258435819,0.8146650604649123,1.0177137184726144,-0.6415651033026489,0.3928952567355567,-0.2621905058517884,-0.37879677481184393,0.7079781687067077,0.605427020668063,0.48045659457506296,-0.5297858085335833,0.07876666840917493,-0.8561785289642958,-0.846273265721415,14.7
-0.15394035365835734,-1.6780652652736054,2.1178240296334185,1.2410015542246122,-0.9620728442990278,0.818975304141322,0.5720721407024578,-0.887658498042985,0.5774915582578035,1.076918109675014,1.1868364596347105,-0.9240823420907504,-0.46737419816773956,-0.8561785289642958,-0.846273265721415,17.5
-0.3535711536943881,0.5220544998042882,-0.35108233976913206,1.0177137184726144,-1.3565439101407253,1.0083442140994396,0.5581677632598868,-0.9194623557449312,0.1860317269110913,0.40335941109365525,0.26398534560517073,-0.7647960349907822,-0.24395293456809275,-0.8561785289642958,-0.846273265721415,15.9
-0.3535711536943881,0.1596576479021068,0.07103841110694908,0.4222794898006201,-0.07451294615520913,0.6927293641692434,1.364621654928992,-0.7816456390364973,0.3491399899722215,0.24619571475800503,0.3209514637551423,-0.37538955510530725,0.2922580980710595,-0.8561785289642958,-0.846273265721415,15.2
0.9107572465338073,-1.6707113976109238,2.2354228868736428,1.2410015542246122,-1.01138172752924,0.818975304141322,0.5442633858173168,-0.9088610698442825,1.1320596526656463,1.2340818060106646,1.061510999704773,-0.924801467630705,-0.46737419816773956,-0.8561785289642958,-0.846273265721415,19.2
2.241629246774013,-1.9002267348664466,2.437231994330787,0.9060698005966158,-0.6169106616875428,0.8505367891343415,1.309004145158709,-0.9512662134468776,1.2462354368084374,1.1891778927719072,1.3121619195646477,-0.8648263975984822,-0.3829706096967617,-0.8561785289642958,-0.846273265721415,19.1
-0.15394035365835734,-0.07861490535887455,0.3266898316019144,1.092142997056614,-1.1099994939896645,1.750039111435401,0.2800802144084714,-1.205697075062448,0.39807246889056064,0.5268451725002379,0.5829956072450116,-0.9755717307515075,-0.5368830357320744,-0.8561785289642958,-0.846273265721415,16.4
0.045690446377673694,0.6412144140793553,-0.44210142368633504,1.0549283577646138,-0.7155284281479671,1.4502050040017147,0.7389246700133074,-0.8346520685397412,0.13709924799275214,0.20129180151924753,0.34373791101513085,-0.4510415619085426,0.18799484172455797,-0.8561785289642958,-0.846273265721415,14.4
-0.15394035365835734,-0.5293951395724016,0.5778884969126206,0.012918457588624019,0.31995811968648813,0.061499664308850566,-0.887887490767473,0.19367266382318954,-0.22173893074173415,0.0890320184223544,0.024727649375290317,0.16934804141038495,1.046925477340978,-0.8561785289642958,-0.846273265721415,14.1
0.3118648464257145,-0.2382437102375775,0.47417064467978737,0.7944258827206165,-0.5429473368422245,0.34555302924602715,0.23836708208075952,-0.3045877735073026,-0.22173893074173415,-0.012001786364849257,-0.0664181396646643,-0.2669454236801371,0.44120560713749074,-0.8561785289642958,-0.846273265721415,14.8
